Year,Milage,Price,Link,Photo Link
2015,26200,"£8,150", https://www.autotrader.co.uk/car-details/202111290042734?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/b136bc69d2114408a271ff445a241de2.jpg
2015,59000,"£7,295", https://www.autotrader.co.uk/car-details/202209290250562?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/b0a03c1864ac4135ba069648fcfad707.jpg
2015,71480,"£6,400", https://www.autotrader.co.uk/car-details/202207117665373?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/ec5dc1e9c6924433b20bb99c969fb894.jpg
2015,38285,"£7,595", https://www.autotrader.co.uk/car-details/202201301933868?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/6b53e0c64165441ab301bb0f20417b22.jpg
2015,79885,"£7,100", https://www.autotrader.co.uk/car-details/202210150760612?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/63457db57ca84de8b7a12939002b24eb.jpg
2015,47075,"£8,000", https://www.autotrader.co.uk/car-details/202208018365955?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&journey=PROMOTED_LISTING_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/face978ae1bd4d93a0e6fc9906ed3dab.jpg
2015,47865,"£9,999", https://www.autotrader.co.uk/car-details/202210251059506?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&journey=YOU_MAY_ALSO_LIKE_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/94b5b5612514427a88381108faf78a68.jpg
2015,47865,"£9,999", https://www.autotrader.co.uk/car-details/202210251059506?model=Fiesta&make=Ford&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&radius=1500&year-from=2015&sort=relevance&exclude-writeoff-categories=on&advertising-location=at_cars&year-to=2015&include-delivery-option=on&postcode=tq122pu&page=5&journey=FEATURED_LISTING_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/94b5b5612514427a88381108faf78a68.jpg
2015,63200,"£6,979", https://www.autotrader.co.uk/car-details/202210291180162?model=Fiesta&make=Ford&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&radius=1500&year-from=2015&sort=relevance&exclude-writeoff-categories=on&advertising-location=at_cars&year-to=2015&include-delivery-option=on&postcode=tq122pu&page=5&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/8fa5875a50684c3b866e7ce7089e85ac.jpg
2015,75000,"£6,295", https://www.autotrader.co.uk/car-details/202209290246588?model=Fiesta&make=Ford&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&radius=1500&year-from=2015&sort=relevance&exclude-writeoff-categories=on&advertising-location=at_cars&year-to=2015&include-delivery-option=on&postcode=tq122pu&page=5, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/b65a92b4ccde41168f818e68f935e3b0.jpg
2015,60489,"£6,666", https://www.autotrader.co.uk/car-details/202208299225989?model=Fiesta&make=Ford&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&radius=1500&year-from=2015&sort=relevance&exclude-writeoff-categories=on&advertising-location=at_cars&year-to=2015&include-delivery-option=on&postcode=tq122pu&page=5, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/48408fa7a2b34ba49238edcaafd44e27.jpg
